,SMILES molecule,Generation,Metric 1
0,C1C2N(C=CC=1C#N)N=CC=2C=NN(S(C1C(=CC=C(C(F)(F)F)C=1)C)(=O)=O)C,0,0.1111173326862944
1,C1C=C(C=CC(=O)NCCCNC2=C3CCCCC3=NC3C2=CC=CC=3)C=C(C=1OCCO[N+](=O)[O-])OC,0,0.14388569520874092
2,CC(N1C2C(N(C3C(C)=CC=C(C=3)Cl)C(=O)C=2N=C1C1C(=NC(OC)=CC=1)OC)C1=CC=C(C=C1)Cl)C,0,0.1352229636504661
3,C1C=C(C=CN=1)N1CCC(CC1)C(=O)NC1C=C(OCC2=CC=CC=C2F)C=CC=1,0,0.12588362785350468
4,C1(N(C(=NN=1)SCCOC1=CC=C(C=C1)OC)C)CCNC(=O)C1C=CC(=CC=1)OC,0,0.11514009283808642
1,C1(OC)=CC(=CC=C1OCCO[N+](=O)[O-])C=CC(=O)NCCCNC1=C2CCCCC2=NC2C1=CC=CC=2,1,0.14388569520874092
3,C1=CC=CC2C1=C1C(CCC)=C(N=2)CC(SC=CC(NCCCN1)=O)=CC=C(OCCO[N+]([O-])=O)C,2,0.145465766387212
2,C1=CSC(N=C=C(OCCO[N+]([O-])=O)C)CC2N=C3C=CC=CC3=C(C=2CCC)NCCCNC1=O,3,0.14554632235802226
0,N1=C2C(C=CC=C2)=C2NCCCNC(C=CSC(N=C=C(C)OCCO[N+](=O)[O-])CC1=C2CCC)=O,4,0.14554632235802226
2,C1C(NCCCNC2C(=C(CC(N=C=C(C)OCCO[N+]=O)SC=1)N=C1C=2C=CC=C1)CCC)=O,5,0.14692603173028593
0,C12=C3C=CC=CC3=NC(=C2CCC)CC(SC=CC(=O)NCCCN1)N=C=C(C)OCCO[N+]=O,6,0.14692603173028593
2,CC(=C=NC1CC2=C(CCC)C(NCCCNC(=O)C=CS1)=C1C=CC=CC1=N2)OCCCl,7,0.14706589145643525
0,C1CCNC(C=CSC(CC2N=C3C=CC=CC3=C(C=2CCC)N1)N=C=C(OCCCl)C)=O,8,0.14706589145643525
0,C12C(=C3NCCCNC(C=CSC(N=C=C(OCCCl)C)CC(N=2)=C3CCC)=O)C=CC=C1,9,0.14706589145643525
0,C(=C=NC1SC=CC(NCCCNC2=C3C(=NC(=C2CCC)C1)C=CC=C3)=O)(C)OCCCl,10,0.14706589145643525
0,C1C2C(=NC3CC(SC=CC(NCCCNC=2C=3CCC)=O)N=C=C(OCCCl)C)C=CC=1,11,0.14706589145643525
3,C1C=CC2=NC3CC(=O)SC=CC(N)CCCNC(=C2C=1)C=3CCC,12,0.15811388300841897
2,C1SC(CC2=C(CCC)C(=C3C=CC=CC3=N2)NCCCC(C=1)N)=O,13,0.15811388300841897
2,C1(=O)SC=CC(N)CCCNC2C(=C(N=C3C=2C=CC=C3)C1)CCC,14,0.15811388300841897
